id,svenskt_namn,vetenskapligt_namn,beskrivning,taggar,bild_1_url,bild_1_commons_fil,bild_1_commons_sida,bild_2_url,bild_2_commons_fil,bild_2_commons_sida,bildkategori_commons_url
11,Silverstreckad pärlemorfjäril,Argynnis paphia,"Stor orange pärlemorfjäril med svarta fläckar på ovansidan. På undersidan syns ljusa silverstreck, särskilt när den vilar med stängda vingar.","orange, stor, silverstreck, skogsbryn, sommar",https://upload.wikimedia.org/wikipedia/commons/2/24/20180707Argynnis_paphia_01.jpg,20180707Argynnis paphia 01.jpg,https://commons.wikimedia.org/wiki/File:20180707Argynnis_paphia_01.jpg,https://upload.wikimedia.org/wikipedia/commons/1/10/Argynnis_paphia_July_2016_Soisalo_island_Finland.jpg,Argynnis paphia July 2016 Soisalo island Finland.jpg,https://commons.wikimedia.org/wiki/File:Argynnis_paphia_July_2016_Soisalo_island_Finland.jpg,https://commons.wikimedia.org/wiki/Category:Argynnis_paphia
12,Aurorafjäril,Anthocharis cardamines,"Vårfjäril där hanen har tydligt orange vingspetsar. Honan är vitare, men båda har vackert grönspräcklig undersida som kamouflage.","vår, orange spetsar, vit, äng, lätt",https://upload.wikimedia.org/wikipedia/commons/8/8c/2015-05-06_1087_Aurorafalter.jpg,2015-05-06 1087 Aurorafalter.jpg,https://commons.wikimedia.org/wiki/File:2015-05-06_1087_Aurorafalter.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Anthocharis_Cardamines_%28aurore_%3B_ailes_d%C3%A9pli%C3%A9es%29.JPG,Anthocharis Cardamines (aurore ; ailes dépliées).JPG,https://commons.wikimedia.org/wiki/File:Anthocharis_Cardamines_%28aurore_%3B_ailes_d%C3%A9pli%C3%A9es%29.JPG,https://commons.wikimedia.org/wiki/Category:Anthocharis_cardamines
13,Kamgräsfjäril,Coenonympha pamphilus,"Liten varm brunorange gräsfjäril med diskret ögonfläck. Den flyger nära marken på torra ängar, betesmarker och öppna gräsytor.","liten, brunorange, gräsmark, torräng, vanlig",https://upload.wikimedia.org/wikipedia/commons/8/85/2012.05.25.-13-Steinberger_See-Kleines_Wiesenvoegelchen.jpg,2012.05.25.-13-Steinberger See-Kleines Wiesenvoegelchen.jpg,https://commons.wikimedia.org/wiki/File:2012.05.25.-13-Steinberger_See-Kleines_Wiesenvoegelchen.jpg,https://upload.wikimedia.org/wikipedia/commons/7/78/2013.05.28.-1-Mannheim_Vogelstang-Kleines_Wiesenvoegelchen.jpg,2013.05.28.-1-Mannheim Vogelstang-Kleines Wiesenvoegelchen.jpg,https://commons.wikimedia.org/wiki/File:2013.05.28.-1-Mannheim_Vogelstang-Kleines_Wiesenvoegelchen.jpg,https://commons.wikimedia.org/wiki/Category:Coenonympha_pamphilus
14,Rovfjäril,Pieris rapae,"Liten vitfjäril med svarta prickar och mörk vingspets. Den är vanlig i trädgårdar och odlingslandskap, särskilt där korsblommiga växter finns.","vit, trädgård, odling, kålväxter, vanlig",https://upload.wikimedia.org/wikipedia/commons/9/93/-2018-09-19_Cabbage_White_Butterfly_%28Pieris_rapae%29%2C_Trimingham_%281%29.JPG,"-2018-09-19 Cabbage White Butterfly (Pieris rapae), Trimingham (1).JPG",https://commons.wikimedia.org/wiki/File:-2018-09-19_Cabbage_White_Butterfly_%28Pieris_rapae%29%2C_Trimingham_%281%29.JPG,https://upload.wikimedia.org/wikipedia/commons/c/c7/20170809Pieris_rapae.jpg,20170809Pieris rapae.jpg,https://commons.wikimedia.org/wiki/File:20170809Pieris_rapae.jpg,https://commons.wikimedia.org/wiki/Category:Pieris_rapae
15,Kålfjäril,Pieris brassicae,"Stor vitfjäril med kraftigt mörka vingspetsar. Larverna kan äta på kålväxter, vilket gör arten välkänd i trädgårdar och odlingar.","vit, stor, kål, trädgård, lätt",https://upload.wikimedia.org/wikipedia/commons/a/ad/2016.07.07.-01-Felde--Grosser_Kohlweissling.jpg,2016.07.07.-01-Felde--Grosser Kohlweissling.jpg,https://commons.wikimedia.org/wiki/File:2016.07.07.-01-Felde--Grosser_Kohlweissling.jpg,https://upload.wikimedia.org/wikipedia/commons/2/22/Borboleta_branca_da_couve_%28Pieris_brassicae%29_%2852155655251%29.jpg,Borboleta branca da couve (Pieris brassicae) (52155655251).jpg,https://commons.wikimedia.org/wiki/File:Borboleta_branca_da_couve_%28Pieris_brassicae%29_%2852155655251%29.jpg,https://commons.wikimedia.org/wiki/Category:Pieris_brassicae
16,Mindre tåtelsmygare,Thymelicus lineola,"Liten gulbrun smygare som ofta sitter stilla på gräs och blommor. Den är diskret men vanlig i soliga, gräsrika marker.","gulbrun, smygare, gräs, äng, liten",https://upload.wikimedia.org/wikipedia/commons/c/c9/Essex_Skipper_butterfly_%28Thymelicus_lineola%29_%2851339535378%29.jpg,Essex Skipper butterfly (Thymelicus lineola) (51339535378).jpg,https://commons.wikimedia.org/wiki/File:Essex_Skipper_butterfly_%28Thymelicus_lineola%29_%2851339535378%29.jpg,https://upload.wikimedia.org/wikipedia/commons/7/73/Thymelicus_lineola_European_Skipper_Butterfly.jpg,Thymelicus lineola European Skipper Butterfly.jpg,https://commons.wikimedia.org/wiki/File:Thymelicus_lineola_European_Skipper_Butterfly.jpg,https://commons.wikimedia.org/wiki/Category:Thymelicus_lineola
17,Grönsnabbvinge,Callophrys rubi,Liten fjäril som nästan alltid visar sin gröna undersida när den sitter. Färgen gör att den kan försvinna mot blad och knoppar.,"grön, liten, vår, buskar, kamouflage",https://upload.wikimedia.org/wikipedia/commons/a/a5/Callophrys_rubi%2C_Green_Hairstreak%2C_Groentje_01.jpg,"Callophrys rubi, Green Hairstreak, Groentje 01.jpg",https://commons.wikimedia.org/wiki/File:Callophrys_rubi%2C_Green_Hairstreak%2C_Groentje_01.jpg,https://upload.wikimedia.org/wikipedia/commons/8/83/Butterfly_Green_Hairstreak_-_Callophrys_rubi.jpg,Butterfly Green Hairstreak - Callophrys rubi.jpg,https://commons.wikimedia.org/wiki/File:Butterfly_Green_Hairstreak_-_Callophrys_rubi.jpg,https://commons.wikimedia.org/wiki/Category:Callophrys_rubi
18,Tosteblåvinge,Celastrina argiolus,"Ljusblå blåvinge som ofta flyger lite högre än andra blåvingar. Den syns gärna vid buskar, skogsbryn, häckar och trädgårdar.","ljusblå, buskar, trädgård, skogsbryn, vår",https://upload.wikimedia.org/wikipedia/commons/5/58/20170407Celastrina_argiolus2.jpg,20170407Celastrina argiolus2.jpg,https://commons.wikimedia.org/wiki/File:20170407Celastrina_argiolus2.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d2/Celastrina_argiolus_%28Holly_blue%29%2C_Arnhem%2C_the_Netherlands.jpg,"Celastrina argiolus (Holly blue), Arnhem, the Netherlands.jpg",https://commons.wikimedia.org/wiki/File:Celastrina_argiolus_%28Holly_blue%29%2C_Arnhem%2C_the_Netherlands.jpg,https://commons.wikimedia.org/wiki/Category:Celastrina_argiolus
19,Vinbärsfuks,Polygonia c-album,Orange fjäril med kraftigt flikiga vingkanter. På undersidan finns ett litet vitt C-märke som har gett arten dess latinska namn.,"orange, flikiga vingar, c-märke, buskar, lätt",https://upload.wikimedia.org/wikipedia/commons/7/74/Comma_butterfly_Polygonia_c-album_in_Essex%2C_England.jpg,"Comma butterfly Polygonia c-album in Essex, England.jpg",https://commons.wikimedia.org/wiki/File:Comma_butterfly_Polygonia_c-album_in_Essex%2C_England.jpg,https://upload.wikimedia.org/wikipedia/commons/2/26/20170626_-_16.48_Gehakkelde_Aurelia_%28Polygonia_c-album%29_2.jpg,20170626 - 16.48 Gehakkelde Aurelia (Polygonia c-album) 2.jpg,https://commons.wikimedia.org/wiki/File:20170626_-_16.48_Gehakkelde_Aurelia_%28Polygonia_c-album%29_2.jpg,https://commons.wikimedia.org/wiki/Category:Polygonia_c-album
20,Sorgmantel,Nymphalis antiopa,Stor mörk fjäril med ljus gulvit vingkant och blå prickar. Den övervintrar som vuxen och kan ses tidigt på våren.,"mörk, stor, ljus kant, blå prickar, vår",https://upload.wikimedia.org/wikipedia/commons/d/da/20210428.K%C3%B6nigsbr%C3%BCcker_Heide-Zochauer_Heidepfad.-017.3.jpg,20210428.Königsbrücker Heide-Zochauer Heidepfad.-017.3.jpg,https://commons.wikimedia.org/wiki/File:20210428.K%C3%B6nigsbr%C3%BCcker_Heide-Zochauer_Heidepfad.-017.3.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6e/2023-05_Rezerwat_Rybojady_%2803%29_Nymphalis_antiopa.jpg,2023-05 Rezerwat Rybojady (03) Nymphalis antiopa.jpg,https://commons.wikimedia.org/wiki/File:2023-05_Rezerwat_Rybojady_%2803%29_Nymphalis_antiopa.jpg,https://commons.wikimedia.org/wiki/Category:Nymphalis_antiopa
21,Tistelfjäril,Vanessa cardui,Orange flyttfjäril med svartvita vingspetsar och fläckig undersida. Vissa år kommer många individer till Sverige från sydligare områden.,"orange, flyttfjäril, tistel, sensommar, vanlig vissa år",https://upload.wikimedia.org/wikipedia/commons/e/e6/20220709_Vanessa_cardui_04.jpg,20220709 Vanessa cardui 04.jpg,https://commons.wikimedia.org/wiki/File:20220709_Vanessa_cardui_04.jpg,https://upload.wikimedia.org/wikipedia/commons/0/0d/Belle-Dame.jpg,Belle-Dame.jpg,https://commons.wikimedia.org/wiki/File:Belle-Dame.jpg,https://commons.wikimedia.org/wiki/Category:Vanessa_cardui
22,Pärlgräsfjäril,Coenonympha arcania,"Brunorange gräsfjäril med ljusa band och tydliga ögonfläckar på undersidan. Den trivs i blomrika bryn, gläntor och halvöppna marker.","brunorange, ögonfläckar, bryn, glänta, sommar",https://upload.wikimedia.org/wikipedia/commons/d/dd/Pearly_Heath_%28Coenonympha_arcania%29.jpg,Pearly Heath (Coenonympha arcania).jpg,https://commons.wikimedia.org/wiki/File:Pearly_Heath_%28Coenonympha_arcania%29.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Coenonympha_arcania_%28Linnaeus%2C_1761%29.jpg,"Coenonympha arcania (Linnaeus, 1761).jpg",https://commons.wikimedia.org/wiki/File:Coenonympha_arcania_%28Linnaeus%2C_1761%29.jpg,https://commons.wikimedia.org/wiki/Category:Coenonympha_arcania
23,Älggräspärlemorfjäril,Brenthis ino,"Orange pärlemorfjäril som ofta finns i fuktiga blomrika marker. Namnet hänger ihop med älggräs, en vanlig växt i dess miljöer.","orange, fuktäng, älggräs, pärlemor, sommar",https://upload.wikimedia.org/wikipedia/commons/7/78/Brenthis_ino_by_Thomas_Bresson.jpg,Brenthis ino by Thomas Bresson.jpg,https://commons.wikimedia.org/wiki/File:Brenthis_ino_by_Thomas_Bresson.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b3/Brenthis_ino_-_Keila.jpg,Brenthis ino - Keila.jpg,https://commons.wikimedia.org/wiki/File:Brenthis_ino_-_Keila.jpg,https://commons.wikimedia.org/wiki/Category:Brenthis_ino
24,Skogsnätfjäril,Melitaea athalia,"Orange och svart fjäril med tydligt rutigt nätmönster. Den hittas ofta i skogsbryn, gläntor och öppna marker med mycket blommor.","nätmönster, orange, skogsbryn, glänta, medel",https://upload.wikimedia.org/wikipedia/commons/2/27/Heath_fritillary_%28Melitaea_athalia_lachares%29_Sweden.jpg,Heath fritillary (Melitaea athalia lachares) Sweden.jpg,https://commons.wikimedia.org/wiki/File:Heath_fritillary_%28Melitaea_athalia_lachares%29_Sweden.jpg,https://upload.wikimedia.org/wikipedia/commons/8/89/Heath_fritillary_%28Melitaea_athalia_lachares%29.jpg,Heath fritillary (Melitaea athalia lachares).jpg,https://commons.wikimedia.org/wiki/File:Heath_fritillary_%28Melitaea_athalia_lachares%29.jpg,https://commons.wikimedia.org/wiki/Category:Melitaea_athalia
25,Ängspärlemorfjäril,Speyeria aglaja,"Stor orange pärlemorfjäril med svarta prickar på ovansidan. Den flyger ofta kraftfullt över ängar, hagmarker och blomrika öppna ytor.","orange, stor, äng, hagmark, pärlemor",https://upload.wikimedia.org/wikipedia/commons/5/51/20210627_Speyeria_aglaja.jpg,20210627 Speyeria aglaja.jpg,https://commons.wikimedia.org/wiki/File:20210627_Speyeria_aglaja.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Argynnis_aglaja_%28Dark_Green_Fritillary%29_-_Flickr_-_S._Rae_%281%29.jpg,Argynnis aglaja (Dark Green Fritillary) - Flickr - S. Rae (1).jpg,https://commons.wikimedia.org/wiki/File:Argynnis_aglaja_%28Dark_Green_Fritillary%29_-_Flickr_-_S._Rae_%281%29.jpg,https://commons.wikimedia.org/wiki/Category:Speyeria_aglaja
26,Skogspärlemorfjäril,Fabriciana adippe,"Orange pärlemorfjäril med svarta fläckar och ljusare teckning på undersidan. Den ses ofta vid skogskanter, gläntor och soliga stigar.","orange, skogskant, glänta, pärlemor, sommar",https://upload.wikimedia.org/wikipedia/commons/5/58/2018.06.24.-16-Wiesensteig--Feuriger_Perlmuttfalter-Maennchen.jpg,2018.06.24.-16-Wiesensteig--Feuriger Perlmuttfalter-Maennchen.jpg,https://commons.wikimedia.org/wiki/File:2018.06.24.-16-Wiesensteig--Feuriger_Perlmuttfalter-Maennchen.jpg,https://upload.wikimedia.org/wikipedia/commons/a/a5/Argynnis_adippe_%28male%29.JPG,Argynnis adippe (male).JPG,https://commons.wikimedia.org/wiki/File:Argynnis_adippe_%28male%29.JPG,https://commons.wikimedia.org/wiki/Category:Fabriciana_adippe
27,Brunfläckig pärlemorfjäril,Boloria selene,Mindre pärlemorfjäril med orange ovansida och ljusa pärlfläckar på undersidan. Den trivs ofta i fuktigare ängs- och skogsmarker.,"orange, liten, fuktmark, pärlemor, skog",https://upload.wikimedia.org/wikipedia/commons/3/32/20170728-IMG_3012-b_Boloria_selene.jpg,20170728-IMG 3012-b Boloria selene.jpg,https://commons.wikimedia.org/wiki/File:20170728-IMG_3012-b_Boloria_selene.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d4/20170728-IMG_3019_Boloria_selene.jpg,20170728-IMG 3019 Boloria selene.jpg,https://commons.wikimedia.org/wiki/File:20170728-IMG_3019_Boloria_selene.jpg,https://commons.wikimedia.org/wiki/Category:Boloria_selene
28,Vitfläckig guldvinge,Lycaena virgaureae,"Lysande orange guldvinge där hanen kan se nästan glödande ut i sol. Den besöker gärna blommor på öppna, varma marker.","orange, guldvinge, blomrik mark, sol, lätt",https://upload.wikimedia.org/wikipedia/commons/a/a8/Lycaena_virgaureae_male.jpg,Lycaena virgaureae male.jpg,https://commons.wikimedia.org/wiki/File:Lycaena_virgaureae_male.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Lycaena_virgaureae_female.jpg,Lycaena virgaureae female.jpg,https://commons.wikimedia.org/wiki/File:Lycaena_virgaureae_female.jpg,https://commons.wikimedia.org/wiki/Category:Lycaena_virgaureae
29,Hedblåvinge,Plebejus idas,"Blåvinge som ofta hör hemma på hedar, torra marker och öppna skogslandskap. Hanen är blå, medan honan oftare är brunare.","blå, hed, torrmark, skogsmark, liten",https://upload.wikimedia.org/wikipedia/commons/a/a5/20180731S%C3%BCdliche_Fr%C3%B6ttmaninger_Heide_04.jpg,20180731Südliche Fröttmaninger Heide 04.jpg,https://commons.wikimedia.org/wiki/File:20180731S%C3%BCdliche_Fr%C3%B6ttmaninger_Heide_04.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f9/20180731S%C3%BCdliche_Fr%C3%B6ttmaninger_Heide_05.jpg,20180731Südliche Fröttmaninger Heide 05.jpg,https://commons.wikimedia.org/wiki/File:20180731S%C3%BCdliche_Fr%C3%B6ttmaninger_Heide_05.jpg,https://commons.wikimedia.org/wiki/Category:Plebejus_idas
30,Makaonfjäril,Papilio machaon,Stor gul fjäril med svarta band och små svansar på bakvingarna. Den är spektakulär men lokalt vanligare i vissa landskap än andra.,"gul, stor, svansar, våtmark, lätt",https://upload.wikimedia.org/wikipedia/commons/a/a0/%28Papilio_machaon%29._Swallowtail_-_Flickr_-_gailhampshire.jpg,(Papilio machaon). Swallowtail - Flickr - gailhampshire.jpg,https://commons.wikimedia.org/wiki/File:%28Papilio_machaon%29._Swallowtail_-_Flickr_-_gailhampshire.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ab/09_Machaon.jpg,09 Machaon.jpg,https://commons.wikimedia.org/wiki/File:09_Machaon.jpg,https://commons.wikimedia.org/wiki/Category:Papilio_machaon
